,Calls Offered, Abandon after 30s,FCR,DSAT ,CSAT ,,,,,,,,,,,,,,,,,
2017-04-17 00:00:00,23074,0.0524,0.859,0.134,0.787,,,,,,,,,,,,,,,,,
2017-05-17 00:00:00,25469,0.058,0.825,0.168,0.732,,,,,,,,,,,,,,,,,
2018-03-18 00:00:00,22343,0.0305,0.86,0.18,0.744,,,,,,,,,,,,,,,,,
2017-07-17 00:00:00,28129,0.0613,0.819,0.126,0.734,,,,,,,,,,,,,,,,,
2017-08-17 00:00:00,27037,0.102,0.824,0.156,0.755,,,,,,,,,,,,,,,,,
2017-09-17 00:00:00,20717,0.135,0.811,0.17,0.717,,,,,,,,,,,,,,,,,
2017-10-17 00:00:00,17363,0.0548,0.814,0.145,0.738,,,,,,,,,,,,,,,,,
2017-11-17 00:00:00,13770,0.0257,0.845,0.122,0.773,,,,,,,,,,,,,,,,,
2017-12-17 00:00:00,10933,0.0324,0.847,0.113,0.805,,,,,,,,,,,,,,,,,
2018-01-01 00:00:00,16915,0.0232,0.865,0.142,0.783,,,,,,,,,,,,,,,,,
2018-02-18 00:00:00,17342,0.0135,0.886,0.124,0.78,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Average,=AVERAGE(B2:B12),=AVERAGE(C2:C12),=AVERAGE(D2:D12),=AVERAGE(E2:E12),=AVERAGE(F2:F12),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Goals effective December, 2016",,,,,,,,,,,,,,,,,,,,,,
Abandonment Rate (after 30 seconds):  Less than or equal to 8% monthly and a rolling 12 month average of less than or equal to 4%.,,,,,,,,,,,,,,,,,,,,,,
CSAT: Equal to or than than 64% on a monthly basis and a rolling 12 month average that is equal to or higher than 71%.,,,,,,,,,,,,,,,,,,,,,,
DSAT: Equal to or less than 23% on a monthly basis and a rolling 12 month average that is equal to or less than 18%.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
